Date,Season,Score,Home/Away,Result,Opponent,Tournament
12 May 2013,SEASON 2012/13,1-1,Home,Draw,Defensa y Justicia,Primera B Nacional
04 May 2013,SEASON 2012/13,0-0,Away,Draw,Ferro Carril Oeste,Primera B Nacional
26 Apr 2013,SEASON 2012/13,2-1,Home,Win,Crucero del Norte,Primera B Nacional
20 Apr 2013,SEASON 2012/13,1-1,Away,Draw,Douglas Haig,Primera B Nacional
13 Apr 2013,SEASON 2012/13,0-1,Home,Lose,Almirante Brown,Primera B Nacional
08 Apr 2013,SEASON 2012/13,3-1,Away,Win,Indep. Rivadavia,Primera B Nacional
30 Mar 2013,SEASON 2012/13,2-0,Home,Win,Patronato,Primera B Nacional
24 Mar 2013,SEASON 2012/13,4-3,Away,Win,Atl.Tucumán,Primera B Nacional
18 Mar 2013,SEASON 2012/13,2-2,Home,Draw,Olimpo,Primera B Nacional
11 Mar 2013,SEASON 2012/13,2-1,Away,Win,Nueva Chicago,Primera B Nacional
02 Mar 2013,SEASON 2012/13,2-0,Home,Win,Banfield,Primera B Nacional
25 Feb 2013,SEASON 2012/13,1-0,Away,Win,CA Huracán,Primera B Nacional
20 Feb 2013,SEASON 2012/13,1-2,Home,Lose,Central Córdoba Rosario,Copa Argentina
16 Feb 2013,SEASON 2012/13,1-0,Home,Win,Boca Unidos,Primera B Nacional
09 Feb 2013,SEASON 2012/13,1-0,Away,Win,Sarmiento,Primera B Nacional
02 Feb 2013,SEASON 2012/13,2-1,Away,Win,Deportivo Merlo,Primera B Nacional
10 Dec 2012,SEASON 2012/13,1-0,Home,Win,Instituto,Primera B Nacional
04 Dec 2012,SEASON 2012/13,2-0,Home,Win,Gimnasia La Plata,Primera B Nacional
26 Nov 2012,SEASON 2012/13,1-0,Away,Win,Aldosivi,Primera B Nacional
21 Nov 2012,SEASON 2012/13,1-0,Away,Win,Crucero del Norte,Primera B Nacional
16 Nov 2012,SEASON 2012/13,2-0,Home,Win,Gimnasia Jujuy,Primera B Nacional
10 Nov 2012,SEASON 2012/13,1-0,Away,Win,Defensa y Justicia,Primera B Nacional
04 Nov 2012,SEASON 2012/13,1-1,Home,Draw,Ferro Carril Oeste,Primera B Nacional
21 Oct 2012,SEASON 2012/13,1-3,Home,Lose,Douglas Haig,Primera B Nacional
13 Oct 2012,SEASON 2012/13,0-0,Away,Draw,Almirante Brown,Primera B Nacional
08 Oct 2012,SEASON 2012/13,2-2,Home,Draw,Indep. Rivadavia,Primera B Nacional
28 Sep 2012,SEASON 2012/13,1-2,Away,Lose,Patronato,Primera B Nacional
22 Sep 2012,SEASON 2012/13,3-1,Home,Win,Atl.Tucumán,Primera B Nacional
15 Sep 2012,SEASON 2012/13,0-2,Away,Lose,Olimpo,Primera B Nacional
08 Sep 2012,SEASON 2012/13,2-0,Home,Win,Nueva Chicago,Primera B Nacional
01 Sep 2012,SEASON 2012/13,1-2,Away,Lose,Banfield,Primera B Nacional
24 Aug 2012,SEASON 2012/13,0-0,Home,Draw,CA Huracán,Primera B Nacional
18 Aug 2012,SEASON 2012/13,2-1,Away,Win,Boca Unidos,Primera B Nacional
11 Aug 2012,SEASON 2012/13,0-1,Home,Lose,Sarmiento,Primera B Nacional
23 Jun 2012,SEASON 2011/12,2-3,Away,Lose,Sportivo Desamparados,Primera B Nacional
17 Jun 2012,SEASON 2011/12,1-3,Home,Lose,Chacarita Juniors,Primera B Nacional
11 Jun 2012,SEASON 2011/12,0-1,Away,Lose,Patronato,Primera B Nacional
30 May 2012,SEASON 2011/12,1 )2-4( 1,Away,Win,Boca Juniors,Copa Argentina
26 May 2012,SEASON 2011/12,0-0,Home,Draw,River Plate,Primera B Nacional
19 May 2012,SEASON 2011/12,2-0,Home,Win,Atl.Tucumán,Primera B Nacional
13 May 2012,SEASON 2011/12,2-1,Away,Win,Aldosivi,Primera B Nacional
06 May 2012,SEASON 2011/12,3-0,Home,Win,CA Huracán,Primera B Nacional
30 Apr 2012,SEASON 2011/12,2-0,Away,Win,Ferro Carril Oeste,Primera B Nacional
25 Apr 2012,SEASON 2011/12,2-1,Home,Win,Belgrano,Copa Argentina
21 Apr 2012,SEASON 2011/12,1-0,Home,Win,Deportivo Merlo,Primera B Nacional
16 Apr 2012,SEASON 2011/12,1-0,Away,Win,Quilmes,Primera B Nacional
09 Apr 2012,SEASON 2011/12,1-0,Home,Win,Indep. Rivadavia,Primera B Nacional
02 Apr 2012,SEASON 2011/12,1-2,Away,Lose,Almirante Brown,Primera B Nacional
29 Mar 2012,SEASON 2011/12,1 )5-4( 1,Away,Lose,Vélez Sarsfield,Copa Argentina
24 Mar 2012,SEASON 2011/12,2-2,Home,Draw,Boca Unidos,Primera B Nacional
18 Mar 2012,SEASON 2011/12,3-1,Away,Win,Guillermo Brown,Primera B Nacional
12 Mar 2012,SEASON 2011/12,2-0,Home,Win,Gimnasia Jujuy,Primera B Nacional
03 Mar 2012,SEASON 2011/12,0-3,Away,Lose,Instituto,Primera B Nacional
25 Feb 2012,SEASON 2011/12,2-0,Home,Win,Atlanta,Primera B Nacional
18 Feb 2012,SEASON 2011/12,0-1,Away,Lose,Gimnasia La Plata,Primera B Nacional
11 Feb 2012,SEASON 2011/12,3-2,Home,Win,Defensa y Justicia,Primera B Nacional
06 Feb 2012,SEASON 2011/12,2-1,Home,Win,Sportivo Desamparados,Primera B Nacional
02 Feb 2012,SEASON 2011/12,1-0,Home,Win,Guillermo Brown,Copa Argentina
09 Dec 2011,SEASON 2011/12,1-1,Away,Draw,Chacarita Juniors,Primera B Nacional
03 Dec 2011,SEASON 2011/12,1-0,Home,Win,Patronato,Primera B Nacional
26 Nov 2011,SEASON 2011/12,1-1,Away,Draw,River Plate,Primera B Nacional
19 Nov 2011,SEASON 2011/12,1-2,Away,Lose,Atl.Tucumán,Primera B Nacional
12 Nov 2011,SEASON 2011/12,3-1,Home,Win,Aldosivi,Primera B Nacional
05 Nov 2011,SEASON 2011/12,1-0,Away,Win,CA Huracán,Primera B Nacional
28 Oct 2011,SEASON 2011/12,3-0,Home,Win,Ferro Carril Oeste,Primera B Nacional
15 Oct 2011,SEASON 2011/12,0-0,Away,Draw,Deportivo Merlo,Primera B Nacional
10 Oct 2011,SEASON 2011/12,0-0,Home,Draw,Quilmes,Primera B Nacional
05 Oct 2011,SEASON 2011/12,0-2,Away,Lose,Indep. Rivadavia,Primera B Nacional
01 Oct 2011,SEASON 2011/12,0-0,Home,Draw,Almirante Brown,Primera B Nacional
25 Sep 2011,SEASON 2011/12,1-0,Away,Win,Boca Unidos,Primera B Nacional
19 Sep 2011,SEASON 2011/12,2-2,Home,Draw,Guillermo Brown,Primera B Nacional
10 Sep 2011,SEASON 2011/12,0-2,Away,Lose,Gimnasia Jujuy,Primera B Nacional
04 Sep 2011,SEASON 2011/12,2-1,Home,Win,Instituto,Primera B Nacional
27 Aug 2011,SEASON 2011/12,0-0,Away,Draw,Atlanta,Primera B Nacional
20 Aug 2011,SEASON 2011/12,1-0,Home,Win,Gimnasia La Plata,Primera B Nacional
06 Aug 2011,SEASON 2011/12,2-1,Away,Win,Defensa y Justicia,Primera B Nacional
